"Group","Units","Indicator","YYYY-MM","value"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2022-12","15.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-01","12.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-02","13"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-03","12.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-04","11.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-05","13.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-06","11.7"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-07","12.4"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-08","11.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-09","10.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-10","10.9"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-11","11.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2023-12","15"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-01","11.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-02","11.6"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-03","11.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-04","11"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-05","13.2"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-06","11.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-07","12.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-08","11.1"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-09","9.3"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-10","9.8"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-11","11.5"
"Oahu visitors","percent","Accom: Friends/Relatives (%)","2024-12","13.7"
"Oahu visitors","percent","Accom: Hostel (%)","2015-01","1"
"Oahu visitors","percent","Accom: Hostel (%)","2015-02","1"
"Oahu visitors","percent","Accom: Hostel (%)","2015-03","1"
"Oahu visitors","percent","Accom: Hostel (%)","2015-04","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2015-05","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2015-06","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2015-07","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2015-08","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2015-09","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2015-10","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2015-11","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2015-12","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2016-01","1"
"Oahu visitors","percent","Accom: Hostel (%)","2016-02","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2016-03","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2016-04","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2016-05","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2016-06","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2016-07","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2016-08","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2016-09","1"
"Oahu visitors","percent","Accom: Hostel (%)","2016-10","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2016-11","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2016-12","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2017-01","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2017-02","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2017-03","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2017-04","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2017-05","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2017-06","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2017-07","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2017-08","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2017-09","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2017-10","1"
"Oahu visitors","percent","Accom: Hostel (%)","2017-11","1"
"Oahu visitors","percent","Accom: Hostel (%)","2017-12","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2018-01","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2018-02","1.2"
"Oahu visitors","percent","Accom: Hostel (%)","2018-03","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2018-04","1"
"Oahu visitors","percent","Accom: Hostel (%)","2018-05","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2018-06","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2018-07","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2018-08","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2018-09","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2018-10","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2018-11","1"
"Oahu visitors","percent","Accom: Hostel (%)","2018-12","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2019-01","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2019-02","1.4"
"Oahu visitors","percent","Accom: Hostel (%)","2019-03","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2019-04","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2019-05","1.4"
"Oahu visitors","percent","Accom: Hostel (%)","2019-06","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2019-07","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2019-08","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2019-09","1"
"Oahu visitors","percent","Accom: Hostel (%)","2019-10","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2019-11","1"
"Oahu visitors","percent","Accom: Hostel (%)","2019-12","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2020-01","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2020-02","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2020-03","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2020-04","0.5"
"Oahu visitors","percent","Accom: Hostel (%)","2020-05","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2020-06","0.3"
"Oahu visitors","percent","Accom: Hostel (%)","2020-07","0.1"
"Oahu visitors","percent","Accom: Hostel (%)","2020-08","0.3"
"Oahu visitors","percent","Accom: Hostel (%)","2020-09","0.4"
"Oahu visitors","percent","Accom: Hostel (%)","2020-10","0.3"
"Oahu visitors","percent","Accom: Hostel (%)","2020-11","0.5"
"Oahu visitors","percent","Accom: Hostel (%)","2020-12","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2021-01","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2021-02","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2021-03","0.5"
"Oahu visitors","percent","Accom: Hostel (%)","2021-04","0.5"
"Oahu visitors","percent","Accom: Hostel (%)","2021-05","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2021-06","0.5"
"Oahu visitors","percent","Accom: Hostel (%)","2021-07","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2021-08","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2021-09","0.6"
"Oahu visitors","percent","Accom: Hostel (%)","2021-10","0.5"
"Oahu visitors","percent","Accom: Hostel (%)","2021-11","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2021-12","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2022-01","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2022-02","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2022-03","1.4"
"Oahu visitors","percent","Accom: Hostel (%)","2022-04","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2022-05","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2022-06","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2022-07","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2022-08","1"
"Oahu visitors","percent","Accom: Hostel (%)","2022-09","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2022-10","1"
"Oahu visitors","percent","Accom: Hostel (%)","2022-11","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2022-12","1"
"Oahu visitors","percent","Accom: Hostel (%)","2023-01","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2023-02","1"
"Oahu visitors","percent","Accom: Hostel (%)","2023-03","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2023-04","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2023-05","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2023-06","0.8"
"Oahu visitors","percent","Accom: Hostel (%)","2023-07","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2023-08","1"
"Oahu visitors","percent","Accom: Hostel (%)","2023-09","1"
"Oahu visitors","percent","Accom: Hostel (%)","2023-10","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2023-11","1"
"Oahu visitors","percent","Accom: Hostel (%)","2023-12","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2024-01","1"
"Oahu visitors","percent","Accom: Hostel (%)","2024-02","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2024-03","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2024-04","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2024-05","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2024-06","1.2"
"Oahu visitors","percent","Accom: Hostel (%)","2024-07","0.7"
"Oahu visitors","percent","Accom: Hostel (%)","2024-08","1.1"
"Oahu visitors","percent","Accom: Hostel (%)","2024-09","1.2"
"Oahu visitors","percent","Accom: Hostel (%)","2024-10","1.2"
"Oahu visitors","percent","Accom: Hostel (%)","2024-11","0.9"
"Oahu visitors","percent","Accom: Hostel (%)","2024-12","0.7"
"Oahu visitors","percent","Accom: Hotel (%)","2015-01","75.3"
"Oahu visitors","percent","Accom: Hotel (%)","2015-02","73.7"
"Oahu visitors","percent","Accom: Hotel (%)","2015-03","73.7"
"Oahu visitors","percent","Accom: Hotel (%)","2015-04","74.9"
"Oahu visitors","percent","Accom: Hotel (%)","2015-05","74.2"
"Oahu visitors","percent","Accom: Hotel (%)","2015-06","72.6"
"Oahu visitors","percent","Accom: Hotel (%)","2015-07","71.6"
"Oahu visitors","percent","Accom: Hotel (%)","2015-08","72.8"
"Oahu visitors","percent","Accom: Hotel (%)","2015-09","75.7"
"Oahu visitors","percent","Accom: Hotel (%)","2015-10","75.7"
"Oahu visitors","percent","Accom: Hotel (%)","2015-11","74.5"
"Oahu visitors","percent","Accom: Hotel (%)","2015-12","70.9"
"Oahu visitors","percent","Accom: Hotel (%)","2016-01","74.3"
"Oahu visitors","percent","Accom: Hotel (%)","2016-02","73.6"
"Oahu visitors","percent","Accom: Hotel (%)","2016-03","72.1"
"Oahu visitors","percent","Accom: Hotel (%)","2016-04","74.4"
"Oahu visitors","percent","Accom: Hotel (%)","2016-05","73.3"
"Oahu visitors","percent","Accom: Hotel (%)","2016-06","72.9"
"Oahu visitors","percent","Accom: Hotel (%)","2016-07","71.8"
"Oahu visitors","percent","Accom: Hotel (%)","2016-08","72.4"
"Oahu visitors","percent","Accom: Hotel (%)","2016-09","75.9"
"Oahu visitors","percent","Accom: Hotel (%)","2016-10","76.7"
"Oahu visitors","percent","Accom: Hotel (%)","2016-11","74.9"
"Oahu visitors","percent","Accom: Hotel (%)","2016-12","71.5"
"Oahu visitors","percent","Accom: Hotel (%)","2017-01","72"
"Oahu visitors","percent","Accom: Hotel (%)","2017-02","72.8"
"Oahu visitors","percent","Accom: Hotel (%)","2017-03","73.2"
"Oahu visitors","percent","Accom: Hotel (%)","2017-04","72.9"
"Oahu visitors","percent","Accom: Hotel (%)","2017-05","70.8"
"Oahu visitors","percent","Accom: Hotel (%)","2017-06","72.1"
"Oahu visitors","percent","Accom: Hotel (%)","2017-07","70.4"
"Oahu visitors","percent","Accom: Hotel (%)","2017-08","71.6"
"Oahu visitors","percent","Accom: Hotel (%)","2017-09","75.2"
"Oahu visitors","percent","Accom: Hotel (%)","2017-10","74.4"
"Oahu visitors","percent","Accom: Hotel (%)","2017-11","73.8"
"Oahu visitors","percent","Accom: Hotel (%)","2017-12","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2018-01","72"
"Oahu visitors","percent","Accom: Hotel (%)","2018-02","72.1"
"Oahu visitors","percent","Accom: Hotel (%)","2018-03","71.5"
"Oahu visitors","percent","Accom: Hotel (%)","2018-04","72.5"
"Oahu visitors","percent","Accom: Hotel (%)","2018-05","70.1"
"Oahu visitors","percent","Accom: Hotel (%)","2018-06","69.8"
"Oahu visitors","percent","Accom: Hotel (%)","2018-07","68.5"
"Oahu visitors","percent","Accom: Hotel (%)","2018-08","71.2"
"Oahu visitors","percent","Accom: Hotel (%)","2018-09","71.8"
"Oahu visitors","percent","Accom: Hotel (%)","2018-10","71.7"
"Oahu visitors","percent","Accom: Hotel (%)","2018-11","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2018-12","67.8"
"Oahu visitors","percent","Accom: Hotel (%)","2019-01","68.8"
"Oahu visitors","percent","Accom: Hotel (%)","2019-02","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2019-03","69.9"
"Oahu visitors","percent","Accom: Hotel (%)","2019-04","70.4"
"Oahu visitors","percent","Accom: Hotel (%)","2019-05","68.5"
"Oahu visitors","percent","Accom: Hotel (%)","2019-06","68.6"
"Oahu visitors","percent","Accom: Hotel (%)","2019-07","68.3"
"Oahu visitors","percent","Accom: Hotel (%)","2019-08","69.2"
"Oahu visitors","percent","Accom: Hotel (%)","2019-09","71.8"
"Oahu visitors","percent","Accom: Hotel (%)","2019-10","72.8"
"Oahu visitors","percent","Accom: Hotel (%)","2019-11","71.7"
"Oahu visitors","percent","Accom: Hotel (%)","2019-12","69.6"
"Oahu visitors","percent","Accom: Hotel (%)","2020-01","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2020-02","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2020-03","65.2"
"Oahu visitors","percent","Accom: Hotel (%)","2020-04","41.5"
"Oahu visitors","percent","Accom: Hotel (%)","2020-05","22.2"
"Oahu visitors","percent","Accom: Hotel (%)","2020-06","20.2"
"Oahu visitors","percent","Accom: Hotel (%)","2020-07","23.8"
"Oahu visitors","percent","Accom: Hotel (%)","2020-08","32.3"
"Oahu visitors","percent","Accom: Hotel (%)","2020-09","28.3"
"Oahu visitors","percent","Accom: Hotel (%)","2020-10","38"
"Oahu visitors","percent","Accom: Hotel (%)","2020-11","44.8"
"Oahu visitors","percent","Accom: Hotel (%)","2020-12","45"
"Oahu visitors","percent","Accom: Hotel (%)","2021-01","46.8"
"Oahu visitors","percent","Accom: Hotel (%)","2021-02","54.4"
"Oahu visitors","percent","Accom: Hotel (%)","2021-03","60.6"
"Oahu visitors","percent","Accom: Hotel (%)","2021-04","62.5"
"Oahu visitors","percent","Accom: Hotel (%)","2021-05","64.2"
"Oahu visitors","percent","Accom: Hotel (%)","2021-06","67"
"Oahu visitors","percent","Accom: Hotel (%)","2021-07","69"
"Oahu visitors","percent","Accom: Hotel (%)","2021-08","69.5"
"Oahu visitors","percent","Accom: Hotel (%)","2021-09","66.2"
"Oahu visitors","percent","Accom: Hotel (%)","2021-10","64.9"
"Oahu visitors","percent","Accom: Hotel (%)","2021-11","65.6"
"Oahu visitors","percent","Accom: Hotel (%)","2021-12","63"
"Oahu visitors","percent","Accom: Hotel (%)","2022-01","63.9"
"Oahu visitors","percent","Accom: Hotel (%)","2022-02","66.2"
"Oahu visitors","percent","Accom: Hotel (%)","2022-03","68"
"Oahu visitors","percent","Accom: Hotel (%)","2022-04","71.2"
"Oahu visitors","percent","Accom: Hotel (%)","2022-05","69.9"
"Oahu visitors","percent","Accom: Hotel (%)","2022-06","69.7"
"Oahu visitors","percent","Accom: Hotel (%)","2022-07","68.4"
"Oahu visitors","percent","Accom: Hotel (%)","2022-08","69.3"
"Oahu visitors","percent","Accom: Hotel (%)","2022-09","71.3"
"Oahu visitors","percent","Accom: Hotel (%)","2022-10","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2022-11","69.5"
"Oahu visitors","percent","Accom: Hotel (%)","2022-12","67.2"
"Oahu visitors","percent","Accom: Hotel (%)","2023-01","68.6"
"Oahu visitors","percent","Accom: Hotel (%)","2023-02","69.3"
"Oahu visitors","percent","Accom: Hotel (%)","2023-03","69.4"
"Oahu visitors","percent","Accom: Hotel (%)","2023-04","71"
"Oahu visitors","percent","Accom: Hotel (%)","2023-05","69"
"Oahu visitors","percent","Accom: Hotel (%)","2023-06","70.6"
"Oahu visitors","percent","Accom: Hotel (%)","2023-07","70.2"
"Oahu visitors","percent","Accom: Hotel (%)","2023-08","69.7"
"Oahu visitors","percent","Accom: Hotel (%)","2023-09","70.7"
"Oahu visitors","percent","Accom: Hotel (%)","2023-10","72"
"Oahu visitors","percent","Accom: Hotel (%)","2023-11","68.9"
"Oahu visitors","percent","Accom: Hotel (%)","2023-12","67.1"
"Oahu visitors","percent","Accom: Hotel (%)","2024-01","68.5"
"Oahu visitors","percent","Accom: Hotel (%)","2024-02","69.8"
"Oahu visitors","percent","Accom: Hotel (%)","2024-03","70.1"
"Oahu visitors","percent","Accom: Hotel (%)","2024-04","71.5"
"Oahu visitors","percent","Accom: Hotel (%)","2024-05","69"
"Oahu visitors","percent","Accom: Hotel (%)","2024-06","69.2"
"Oahu visitors","percent","Accom: Hotel (%)","2024-07","67.9"
"Oahu visitors","percent","Accom: Hotel (%)","2024-08","71.3"
"Oahu visitors","percent","Accom: Hotel (%)","2024-09","71.3"
"Oahu visitors","percent","Accom: Hotel (%)","2024-10","71.8"
"Oahu visitors","percent","Accom: Hotel (%)","2024-11","70.4"
"Oahu visitors","percent","Accom: Hotel (%)","2024-12","67.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-01","66.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-02","65.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-03","65.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-04","65.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-05","65.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-06","63"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-07","62.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-08","63.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-09","67.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-10","67.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-11","66.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2015-12","62.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-01","65.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-02","65.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-03","64.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-04","65.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-05","64.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-06","63.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-07","61.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-08","63.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-09","66.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-10","67.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-11","67.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2016-12","62.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-01","61.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-02","63.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-03","64.7"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-04","64.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-05","61.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-06","62.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-07","59.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-08","62.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-09","66.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-10","65.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-11","65.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2017-12","61.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-01","62.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-02","62.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-03","62.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-04","63.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-05","60.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-06","59.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-07","58.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-08","61.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-09","62.7"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-10","62.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-11","62.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2018-12","58.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-01","59.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-02","61.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-03","62.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-04","61.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-05","58.7"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-06","59.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-07","58.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-08","59.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-09","63.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-10","64.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-11","63.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2019-12","60.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-01","60.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-02","61.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-03","57.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-04","38.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-05","20.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-06","18.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-07","21.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-08","29.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-09","26.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-10","33.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-11","38.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2020-12","37.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-01","40.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-02","47.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-03","52.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-04","55.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-05","56.7"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-06","58.7"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-07","61.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-08","61.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-09","58.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-10","57"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-11","57.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2021-12","54.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-01","55.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-02","58.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-03","60.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-04","63"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-05","60.7"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-06","59.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-07","59"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-08","59.8"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-09","62.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-10","61"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-11","60.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2022-12","57.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-01","59.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-02","60.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-03","60.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-04","61.9"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-05","60"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-06","61.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-07","60.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-08","61"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-09","62.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-10","63.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-11","60.6"
"Oahu visitors","percent","Accom: Hotel only (%)","2023-12","58.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-01","60.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-02","61.3"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-03","62.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-04","62.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-05","60.2"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-06","60.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-07","59.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-08","62.5"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-09","64"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-10","63.4"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-11","62.1"
"Oahu visitors","percent","Accom: Hotel only (%)","2024-12","59.5"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-01","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-02","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-03","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-04","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-05","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-06","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-07","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-08","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-09","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-10","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-11","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2015-12","0"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-01","0.2"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-02","0.4"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-03","0.6"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-04","0.5"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-05","0.5"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-06","0.8"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-07","0.8"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-08","1"
"Oahu visitors","percent","Accom: Private room in private home (%)","2016-09","1.2"
